NAND_M 11 9 74.88
NAND_M 11 10 75.00
NAND_M 12 0 25.00
NAND_M 12 1 25.00
NAND_M 12 2 74.50
NAND_M 12 3 74.00
NAND_M 12 4 75.00
NAND_M 12 5 75.00
NAND_M 12 6 74.75
NAND_M 12 7 74.75
NAND_M 12 8 74.75
NAND_M 12 9 74.75
NAND_M 12 10 74.75
NAND_M 12 11 74.88
NAND_M 13 0 25.00
NAND_M 13 1 25.00
NAND_M 13 2 74.25
NAND_M 13 3 74.12
NAND_M 13 4 75.00
NAND_M 13 5 74.88
NAND_M 13 6 74.88
NAND_M 13 7 75.00
NAND_M 13 8 75.00
NAND_M 13 9 74.62
NAND_M 13 10 74.75
NAND_M 13 11 75.00
NAND_M 13 12 74.88
NAND_M 14 0 25.00
NAND_M 14 1 25.00
NAND_M 14 2 74.50
NAND_M 14 3 73.62
NAND_M 14 4 74.62
NAND_M 14 5 74.75
NAND_M 14 6 74.75
NAND_M 14 7 75.12
NAND_M 14 8 75.00
NAND_M 14 9 75.12
NAND_M 14 10 75.00
NAND_M 14 11 75.00
NAND_M 14 12 74.88
NAND_M 14 13 74.88
NAND_M 15 0 25.00
NAND_M 15 1 25.00
NAND_M 15 2 74.50
NAND_M 15 3 74.38
NAND_M 15 4 75.12
NAND_M 15 5 74.88
NAND_M 15 6 74.88
NAND_M 15 7 75.12
NAND_M 15 8 75.25
NAND_M 15 9 75.00
NAND_M 15 10 74.88
NAND_M 15 11 75.00
NAND_M 15 12 74.75
NAND_M 15 13 75.12
NAND_M 15 14 74.88
NAND_M 16 0 25.00
NAND_M 16 1 25.00
NAND_M 16 2 75.00
NAND_M 16 3 74.12
NAND_M 16 4 74.88
NAND_M 16 5 75.38
NAND_M 16 6 75.00
NAND_M 16 7 75.00
NAND_M 16 8 74.75
NAND_M 16 9 74.75
NAND_M 16 10 75.12
NAND_M 16 11 75.00
NAND_M 16 12 75.00
NAND_M 16 13 75.00
NAND_M 16 14 74.62
NAND_M 16 15 75.00
NOR_M 1 0 75.00
NOR_M 2 0 75.00
NOR_M 2 1 75.00
NOR_M 3 0 75.00
NOR_M 3 1 75.00
